PatentNo	Cited Patent No
6490357	5440570
5898708	5440570
5592404	5440570
5943348	5440570
5974582	5440570
6041430	5440570
5976458	5445790
6030472	5445790
5752155	5445790
5765096	5445790
5842109	5445790
5815789	5445790
6332936	5445790
6293987	5445790
6280682	5445790
6660109	5445790
6607576	5445790
6482384	5453407
6423287	5453407
5846508	5453407
5585084	5453407
6096282	5453407
6143241	5455001
6030472	5455001
5976458	5455001
5864744	5455001
6280682	5455001
6293987	5455001
6294130	5455001
6332936	5455001
6607576	5455001
6506338	5455001
6660109	5455001
6271122	5457069
6440851	5457069
6417567	5457069
5869396	5457069
5529954	5457069
5510295	5457069
6022801	5457069
6001718	5457069
5994775	5457069
6124639	5457069
6071770	5457069
6069045	5457069
6200948	5458847
6893481	5458847
6482384	5460794
5635153	5460794
5846508	5460794
5976458	5466311
6251339	5466311
6280682	5466311
6607576	5466311
6342555	5466346
5929234	5466346
5932724	5466346
5681952	5466346
6078215	5475327
6211731	5475327
6472925	5475327
5885379	5478522
5665423	5478757
6103546	5478757
6455344	5478757
6589848	5478757
6632699	5478757
6653166	5482890
6667492	5482890
6683013	5482890
6711200	5482890
6509619	5482890
6528165	5482890
6534782	5482890
6905766	5482890
6967112	5482890
6774560	5482890
6784074	5482890
6465782	5482890
6413880	5482890
6242326	5482890
6033972	5482890
5928979	5482907
5639704	5482907
6731051	5482907
5605649	5486311
6051965	5486794
6236524	5486794
6710959	5486794
6864755	5486794
6856206	5486794
6889087	5486794
6947213	5486934
6750995	5486934
6728034	5486934
6673497	5486934
6504629	5486934
6586141	5486934
6169613	5486934
6417941	5486934
6473144	5486934
6141124	5486934
5966223	5486934
5682255	5486934
5729306	5486934
5737040	5486934
5982567	5487954
6713173	5487954
6446427	5494438
6305927	5494438
5981774	5495005
5741813	5495005
5861108	5495037
6017984	5495037
6294225	5496593
6548125	5496593
6715780	5499833
6910701	5499833
6024369	5499833
5865455	5499833
6011066	5502055
6344201	5502055
6780414	5502055
6260138	5504914
6164841	5504914
6189141	5504914
6223339	5504914
6148437	5504914
5875317	5504914
5911073	5504914
5717883	5504914
5654660	5504919
6754805	5504919
6689645	5506006
6593077	5506006
6613697	5506006
5877073	5506006
5753311	5506006
6080683	5506006
5920780	5506006
5617052	5506538
5696206	5510457
5932584	5512677
6946470	5512677
6679938	5514202
6660058	5514202
6348431	5514202
5847437	5517054
6903433	5517054
6800499	5517054
6891259	5518660
6617362	5518660
6123912	5518660
6190862	5521299
6574745	5521299
5792289	5525165
5651396	5526851
5630298	5533307
5845438	5533307
5875589	5533307
6115972	5533307
6325351	5533307
6425157	5533307
6543077	5533307
6672573	5533307
6698053	5533307
6722088	5533307
6931804	5533307
D468995	5533307
6840016	5533307
6872273	5534302
6881288	5534302
6927055	5534302
5965671	5534302
6161212	5535146
6845347	5535146
6711723	5535146
6537921	5536676
6509265	5536676
6580150	5536676
6855614	5536676
6958275	5536676
6180521	5536676
6420757	5536676
6433370	5536676
6417567	5536676
5998284	5536676
5998294	5536676
5998248	5536676
